1,32,2.0,1318.85,0.42746,-0.0216,387.02
2,64,2.0,1410.38,0.30805,-0.05156,327.58
3,96,2.0,1416.89,0.30584,-0.06825,311.73
4,128,2.33,1327.87,0.30879,-0.07911,250.68
5,160,2.0,1389.58,0.31678,-0.0677,291.06
6,192,2.06,1386.21,0.3112,-0.07439,320.33
7,224,2.06,1387.76,0.30649,-0.07877,296.62
8,256,2.13,1325.09,0.33754,-0.07925,244.63
9,288,2.0,1344.37,0.31624,-0.07804,300.58
10,320,2.06,1346.39,0.32344,-0.07753,290.97
11,352,2.75,1701.42,1017.78455,1.81695,258.34
12,384,2.53,1469.74,409.39713,2.53299,288.38
13,416,2.0,1451.58,0.62689,2.33471,319.31
14,448,1.89,1417.43,104.17548,2.79329,315.84
15,480,1.94,1298.87,0.3234,2.58547,363.96
16,512,1.62,1376.14,0.29522,2.38273,345.2
17,544,1.94,1303.76,0.32139,2.23063,295.62
18,576,1.62,1296.46,0.31344,2.07365,344.06
19,608,1.89,1488.06,0.3021,1.95159,318.37
20,640,1.62,1392.24,0.28464,1.83144,355.03
21,672,1.67,1353.38,0.33876,1.72387,365.84
22,704,2.75,1597.08,895.10126,2.39206,242.03
23,736,2.67,1696.43,763.03015,3.41527,270.62
24,768,2.47,1568.97,177.95218,3.66579,283.12
25,800,2.47,1693.93,834.6348,4.39784,299.5
26,832,2.13,1301.86,35.66968,4.32973,238.07
27,864,2.13,1302.36,0.46129,4.18332,246.22
28,896,2.2,1318.65,0.32237,4.04701,284.92
29,928,2.13,1347.13,0.35485,3.92048,282.86
30,960,2.27,1283.31,0.32561,3.80195,244.25
31,992,2.47,1338.39,12.33324,3.73346,267.29
32,1024,2.33,1329.91,16.46478,3.66932,301.29
33,1056,2.2,1374.53,2.93208,3.58814,314.0
34,1088,2.4,1337.63,0.30319,3.48882,383.8
35,1120,2.6,1348.89,0.31525,3.39674,284.87
36,1152,2.4,1299.97,0.30167,3.30908,259.34
37,1184,2.67,1372.34,0.31209,3.24175,233.13
38,1216,2.13,1340.82,0.30063,3.15935,266.19
39,1248,2.2,1355.07,0.30571,3.08207,290.77
40,1280,2.47,1349.59,0.31783,3.0091,284.29
